1,311299-9872,Elmeri,Heppu,+3584023423,Elmerinkatu 56,miuku2@gmail.com
2,311299-9872,Muikku,Sipuli,+3584023423,Muikkula 55,miukumauku@gmail.fi
3,311299-9872,Elmeri,Kalmari,+3584023423,Kukkakatu 33,elmerikalmari@outlook.com
4,311299-9872,Tatti,Pata,+3584023423,Muikkutie 56,patala@outlook.fi
5,311299-9872,Elmeri,Guggenheim,+3584023423,Opintokatu 75,elmeri@gmail.com
6,311299-9872,Silli,Muikku,+3584023423,Muikkula 45,kala@gmail.com
7,311299-9872,Mato,Matala,+3584023423,Matonen 1,mato@gmail.com
8,311299-9872,Mietola,Miukula,+3584023423,-,miukula@gmail.com
9,311299-9872,Matti,Meikäläinen,+3584023423,-,jack.smith@gmail.com
10,311299-9872,Matti,Meikäläinen,+3584023423,Eemelinkuja 13 Tampere 33450,jack.smith@gmail.com
12,311299-9872,Matti,Meikäläinen,+3584023423,Namikuja 1 34 335570 Tampere,jack.smith@gmail.com
13,311299-9872,Matti,Meikäläinen,+3584023423,Tampereenkuja 1 22345 Tampere,testissa@gmail.com
14,311299-9872,Matti-meikä,Mattila,+3584023423,Tampereenkuja 17 33880 Tampere,tampere@tampere.fi
15,311299-9872,Matti-meikä,Mattilainen,+3584023423,Tampereenkuja 17 33880 Tampere,tampere@tampere.fi
